ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens
"('chrXV', 565445, 565693)",-,,21.026,11.512925464970229,11.512925464970229,0.27185714285714296,0.5767142857142835,0.7702857142857132
"('chrXVI', 601767, 601841)",-,NM_001184118.1,23.72,11.512925464970229,11.512925464970229,0.011714285714285715,0.8411428571428622,0.45328571428571357
"('chrV', 347411, 347602)",-,,29.478,11.512925464970229,1.4740332754278973,0.30542857142857255,0.5722857142857123,0.19714285714285576
"('chrXIII', 395560, 395829)",-,NM_001182560.1,10.083,6.907755278982137,11.512925464970229,0.5305714285714268,0.3352857142857143,0.35214285714285876
"('chrVI', 123904, 124050)",+,,20.218,11.512925464970229,11.512925464970229,0.42142857142857093,0.11414285714285764,0.3075714285714265
"('chrVI', 123931, 124050)",+,,18.408,6.907755278982137,11.512925464970229,0.22985714285714232,0.12628571428571472,0.227714285714284
"('chrIII', 229071, 229201)",+,NM_001178774.1,27.835,11.512925464970229,6.214608098422191,0.025714285714285696,0.025428571428571436,0.48257142857142893
"('chrXV', 466898, 466989)",-,NM_001183493.1,18.425,11.512925464970229,11.512925464970229,0.3884285714285709,0.2768571428571406,0.7082857142857047
"('chrVII', 215352, 215517)",+,NM_001181020.1,35.84,11.512925464970229,11.512925464970229,0.5454285714285674,0.5571428571428518,0.2834285714285682
"('chrXIII', 660167, 660379)",+,,17.591,3.7722610630529876,11.512925464970229,0.5581428571428559,0.11657142857142919,0.2918571428571398
"('chrVII', 877660, 877895)",-,,19.918,11.512925464970229,11.512925464970229,0.10485714285714272,0.199999999999999,0.3671428571428571
"('chrXV', 70349, 70518)",-,,12.119,6.907755278982137,11.512925464970229,0.7054285714285622,0.10428571428571441,0.46371428571428586
"('chrXII', 848307, 848595)",-,NM_001182250.1,30.184,11.512925464970229,3.912023005428146,0.04057142857142858,0.25585714285714045,0.35500000000000176
"('chrIX', 363737, 364209)",+,NM_001179526.1,27.652,11.512925464970229,5.298317366548036,0.024428571428571418,0.3679999999999979,0.3599999999999989
"('chrIX', 364135, 364209)",+,NM_001179526.1,12.059,11.512925464970229,1.9661128563728327,0.6161428571428512,0.15585714285714283,0.37742857142857084
"('chrX', 264122, 264588)",-,,52.831,11.512925464970229,11.512925464970229,0.20042857142857026,0.2538571428571413,0.21814285714285706
"('chrXI', 446661, 446742)",-,NM_001179794.3,23.649,11.512925464970229,2.0249533563957662,0.6684285714285662,0.2337142857142864,0.3845714285714274
"('chrVII', 682448, 682565)",-,NM_001181227.3,11.417,4.8283137373023015,11.512925464970229,0.42385714285714654,0.5107142857142842,0.32439999999999697
"('chrXII', 608902, 608996)",-,NM_001182120.1,22.074,0.9187938620922735,6.907755278982137,0.17914285714285694,0.07228571428571434,0.36314285714285777
"('chrXII', 608855, 608996)",-,NM_001182120.1,21.76,0.7031975164134467,0.5327304591540407,0.287571428571429,0.33957142857142936,0.44742857142857245
"('chrXII', 608866, 608996)",-,NM_001182120.1,9.73,0.13238918804574562,0.005012541823544286,0.059428571428571636,0.8042857142857137,0.6278571428571393
"('chrXIII', 913899, 914148)",-,,17.273,11.512925464970229,11.512925464970229,0.87585714285714,0.6458571428571417,0.8112857142857146
"('chrXIII', 913904, 914148)",-,,19.754,11.512925464970229,5.809142990314028,0.767428571428566,0.4010000000000009,0.7475714285714259
"('chrIV', 676771, 676905)",+,NM_001180418.1,13.081,11.512925464970229,6.907755278982137,0.33014285714285657,0.009857142857142858,0.5588571428571447
"('chrXIII', 647559, 647645)",+,,22.181,6.907755278982137,1.742969305058623,0.29485714285714343,0.3202857142857142,0.5167142857142843
"('chrXIII', 647559, 647633)",+,,9.968,11.512925464970229,11.512925464970229,0.5555714285714284,0.3444285714285705,0.5285714285714262
"('chrIV', 1501008, 1501266)",-,NM_001180841.1,14.752,11.512925464970229,11.512925464970229,0.451857142857144,0.13057142857142803,0.8407142857142876
"('chrXIV', 616566, 616912)",+,,27.638,11.512925464970229,2.563949857128453,0.8445714285714332,0.21142857142856994,0.46914285714285375
"('chrXIV', 616566, 616869)",+,,26.271,11.512925464970229,11.512925464970229,0.8468571428571483,0.2788571428571427,0.4958571428571391
"('chrXII', 331321, 331421)",-,NM_001181982.1,30.923,11.512925464970229,11.512925464970229,0.7331428571428523,0.16371428571428528,0.4607142857142832
"('chrXVI', 682717, 682811)",+,,12.627,11.512925464970229,11.512925464970229,0.30871428571428655,0.5342857142857114,0.3758000000000025
"('chrIII', 108610, 109093)",+,NM_001178654.1,25.191,11.512925464970229,11.512925464970229,0.49628571428571344,0.5499999999999999,0.5741428571428542
"('chrX', 570067, 570140)",-,,13.156,11.512925464970229,2.7181005369557116,0.5672857142857084,0.43257142857142744,0.4882857142857159
