ChrPos,Strand,Name,ZipperStemMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe
"('chrXII', 712725, 713155)",-,NM_001182175.1,20.0,15.0,0,-1,0.0,0.42857142857142855,0.5714285714285714
"('chrVI', 54377, 54686)",-,NM_001179927.1,20.0,15.0,0,0,1.0,0.0,0.42857142857142855
"('chrXII', 40221, 40400)",-,NM_001181870.1,20.0,46.0,0,0,0.0,0.0,0.8571428571428571
"('chrII', 407027, 407122)",-,NM_001178430.1,20.0,1.0,0,0,0.8571428571428571,0.42857142857142855,0.7142857142857143
"('chrXVI', 138725, 138864)",+,NM_001184032.1,20.0,19.0,0,0,0.8571428571428571,0.8571428571428571,0.7142857142857143
"('chrXV', 552665, 552874)",-,NM_001183541.3,20.0,35.0,0,0,0.0,0.2857142857142857,0.5714285714285714
"('chrIV', 239398, 239509)",-,NM_001180184.1,-10.6,13.0,0,0,0.5714285714285714,0.0,0.0
"('chrII', 393180, 393510)",+,NM_001178426.2,20.0,27.0,0,0,0.5714285714285714,0.8571428571428571,1.0
"('chrX', 435227, 435343)",+,NM_001181435.1,-3.6,28.0,0,0,1.0,0.14285714285714285,0.0
"('chrXVI', 623577, 623710)",+,NM_001184125.1,-8.3,50.0,0,0,0.0,0.5714285714285714,0.7142857142857143
"('chrIII', 107191, 107287)",+,NM_001184518.1,20.0,36.0,0,0,0.7142857142857143,0.0,0.42857142857142855
"('chrIII', 107033, 107110)",+,NM_001184518.1,20.0,41.0,0,0,0.0,0.0,0.2857142857142857
"('chrXVI', 883387, 883486)",+,NM_001184525.1,20.0,16.0,0,0,0.0,0.0,0.8571428571428571
"('chrXIII', 424997, 425153)",+,NM_001182578.1,-2.6,13.0,0,0,0.0,0.0,0.7142857142857143
"('chrVIII', 187514, 187676)",-,NM_001180027.1,20.0,45.0,0,0,0.0,0.8571428571428571,0.5714285714285714
"('chrXIV', 545291, 545370)",+,NM_001182883.1,20.0,21.0,0,0,0.14285714285714285,0.0,0.14285714285714285
"('chrV', 307746, 307848)",+,NM_001184512.1,20.0,23.0,0,0,0.7142857142857143,0.0,0.42857142857142855
"('chrIV', 715247, 715358)",-,NM_001180437.3,-4.2,16.0,0,0,0.5714285714285714,0.0,0.2857142857142857
"('chrVII', 72988, 73137)",-,NM_001181091.1,20.0,48.0,0,0,0.0,0.42857142857142855,0.7142857142857143
"('chrVIII', 498719, 498786)",-,NM_001184671.1,20.0,40.0,0,0,0.0,0.42857142857142855,0.0
"('chrXIII', 99259, 99375)",-,NM_001182444.1,-5.7,29.0,0,0,0.14285714285714285,0.5714285714285714,0.8571428571428571
"('chrII', 170676, 170804)",+,NM_001178266.1,-7.5,40.0,0,0,0.0,0.5714285714285714,0.5714285714285714
"('chrXIII', 23360, 23658)",-,NM_001182487.1,20.0,4.0,-1,0,0.42857142857142855,0.5714285714285714,0.8571428571428571
"('chrIV', 733702, 733775)",-,NM_001180446.3,20.0,33.0,0,0,0.0,0.42857142857142855,0.8571428571428571
"('chrXIV', 380689, 380781)",-,NM_001182968.3,20.0,21.0,-1,0,0.0,0.42857142857142855,0.8571428571428571
"('chrVII', 249886, 250086)",+,NM_001181002.1,20.0,53.0,0,0,1.0,0.0,0.8571428571428571
