ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 61)",+,,14.883,11.512925464970229,11.512925464970229,0.2978571428571431,0.5172857142857109,0.700714285714277,0.0,0.0,15.005,0.44333333333333347,60
"('chrI', 1, 330)",+,,8.456,5.298317366548036,11.512925464970229,0.6992857142857117,0.1398571428571417,0.6749999999999936,-22.699999999999996,0.0,20.705,0.24346504559270515,329
"('chrI', 1, 79)",+,,23.405,11.512925464970229,11.512925464970229,0.1105714285714287,0.3744285714285715,0.3714285714285695,0.0,0.0,12.742,0.5102564102564102,78
"('chrI', 1, 54)",+,,1.948,0.1187835359899669,11.512925464970229,0.9748571428571444,0.311714285714285,0.8589999999999971,0.0,0.0,11.877,0.4377358490566038,53
"('chrI', 1, 77)",+,,17.355,2.6036901857779675,11.512925464970229,0.2375714285714271,0.4295714285714311,0.1608571428571411,0.0,0.0,7.374,0.3394736842105263,76
"('chrI', 1, 294)",+,,12.377,11.512925464970229,11.512925464970229,0.4624285714285732,0.094,0.8264285714285671,-11.679381443298958,0.0,21.505,0.21467576791808876,293
"('chrI', 1, 78)",+,,9.237,0.002002002670673,11.512925464970229,0.9825714285714294,0.7141428571428491,0.5824285714285664,-2.4,0.0,14.933,0.4701298701298701,77
"('chrI', 1, 61)",+,,20.303,11.512925464970229,11.512925464970229,0.0687142857142857,0.3060000000000012,0.5708571428571386,0.0,0.0,7.994,0.45666666666666667,60
"('chrI', 1, 64)",+,,18.314,6.907755278982137,11.512925464970229,0.427428571428569,0.4735714285714286,0.2338571428571408,0.0,0.0,8.686,0.507936507936508,63
"('chrI', 1, 159)",+,,7.0,0.2523149286144895,11.512925464970229,0.7551428571428516,0.3269999999999978,0.9641428571428584,0.0,0.0,18.347,0.3531645569620253,158
"('chrI', 1, 230)",+,,8.131,11.512925464970229,11.512925464970229,0.7888571428571427,0.2857142857142824,0.8394285714285756,0.0,0.0,21.706,0.2646288209606987,229
"('chrI', 1, 279)",+,,32.409,11.512925464970229,11.512925464970229,0.2899999999999966,0.7025714285714194,0.4522857142857114,0.0,0.0,30.522,0.36546762589928056,278
"('chrI', 1, 207)",+,,13.108,0.4877603508349946,11.512925464970229,0.2358571428571407,0.2809999999999997,0.8394285714285732,0.0,0.0,24.957,0.2898058252427185,206
"('chrI', 1, 302)",+,,16.433,11.512925464970229,11.512925464970229,0.3975714285714263,0.3029999999999996,0.7228571428571431,0.0,0.0,16.379,0.21162790697674422,301
"('chrI', 1, 60)",+,,9.015,11.512925464970229,11.512925464970229,0.6991428571428546,0.0398571428571428,0.2374285714285691,0.0,0.0,10.107,0.5220338983050847,59
"('chrI', 1, 180)",+,,21.412,6.907755278982137,11.512925464970229,0.3524285714285716,0.4934285714285712,0.2014285714285692,0.0,0.0,19.213,0.3977653631284916,179
"('chrI', 1, 207)",+,,16.795,3.688879454113936,11.512925464970229,0.3249999999999997,0.3971428571428586,0.7711428571428572,-10.017857142857144,0.0,21.456,0.30679611650485433,206
"('chrI', 1, 458)",+,,11.544,11.512925464970229,11.512925464970229,0.8830000000000006,0.1872857142857124,0.4545714285714289,-7.835714285714284,0.0,24.341,0.27199124726477025,457
"('chrI', 1, 77)",+,,19.645,6.907755278982137,11.512925464970229,0.1911428571428563,0.6755714285714235,0.4234285714285715,0.0,0.0,14.474,0.4171052631578947,76
"('chrI', 1, 94)",+,,18.433,11.512925464970229,11.512925464970229,0.7499999999999943,0.3887142857142859,0.4445714285714276,-5.166666666666665,0.0,8.911,0.2612903225806451,93
"('chrI', 1, 72)",+,,21.741,11.512925464970229,11.512925464970229,0.8390000000000021,0.72799999999999,0.4957142857142864,0.0,0.0,11.658,0.5,71
"('chrI', 1, 231)",+,,13.357,0.2600669054188075,11.512925464970229,0.1054285714285712,0.0581428571428571,0.2064285714285707,-19.61313131313129,0.0,21.662,0.2986956521739131,230
"('chrI', 1, 71)",+,,10.378,1.826350913997674,2.375155785828881,0.4258571428571399,0.2595714285714268,0.509000000000002,0.0,0.0,7.603,0.3514285714285715,70
"('chrI', 1, 404)",+,,9.556,3.816712825623821,11.512925464970229,0.5801428571428553,0.2587142857142857,0.4721428571428576,0.0,0.0,29.144,0.26997518610421833,403
"('chrI', 1, 317)",+,,10.016,3.912023005428146,11.512925464970229,0.1905714285714285,0.0947142857142857,0.6862857142857091,0.0,0.0,27.374,0.3110759493670886,316
"('chrI', 1, 64)",+,,13.051,0.1473405878987091,0.1996711951290677,0.4267142857142831,0.5905714285714233,0.3372857142857115,0.0,0.0,10.015,0.4904761904761904,63
"('chrI', 1, 121)",+,,15.252,2.703062659591171,0.1899505839584458,0.4690000000000027,0.3747142857142853,0.5541428571428555,-5.400000000000003,-7.142465753424656,13.747,0.38749999999999996,120
"('chrI', 1, 66)",+,,24.478,6.214608098422191,11.512925464970229,0.4624285714285698,0.7148571428571333,0.552571428571424,0.0,0.0,16.18,0.4538461538461539,65
"('chrI', 1, 60)",+,,24.277,4.509860006183766,11.512925464970229,0.7781428571428537,0.0208571428571428,0.571428571428565,0.0,0.0,5.556,0.6203389830508474,59
"('chrI', 1, 182)",+,,24.104,11.512925464970229,11.512925464970229,0.1247142857142861,0.1437142857142848,0.5052857142857133,-9.837499999999999,0.0,21.298,0.3414364640883978,181
"('chrI', 1, 55)",+,,11.29,4.3428059215206005,11.512925464970229,0.2617142857142832,0.3504285714285713,0.3124285714285712,0.0,0.0,9.766,0.5425925925925925,54
"('chrI', 1, 64)",+,,20.168,11.512925464970229,11.512925464970229,0.3319999999999993,0.1629999999999984,0.3957142857142883,0.0,0.0,7.607,0.43015873015873013,63
"('chrI', 1, 350)",+,,18.518,2.1037342342488805,11.512925464970229,0.6991428571428536,0.8007142857142843,0.6614285714285656,0.0,0.0,24.066,0.2656160458452722,349
"('chrI', 1, 97)",+,,11.101,11.512925464970229,11.512925464970229,0.6167142857142807,0.0082857142857142,0.3957142857142864,-9.7,0.0,18.223,0.4270833333333333,96
"('chrI', 1, 92)",+,,19.635,11.512925464970229,11.512925464970229,0.9029999999999964,0.3892857142857127,0.5585714285714232,0.0,0.0,15.327,0.5021978021978022,91
"('chrI', 1, 339)",+,,30.116,11.512925464970229,11.512925464970229,0.2695714285714268,0.8287142857142893,0.6321428571428529,0.0,0.0,25.55,0.30059171597633133,338
"('chrI', 1, 92)",+,,5.446,0.1369658550731574,11.512925464970229,0.690714285714285,0.0895714285714285,0.6259999999999976,-5.02,0.0,25.325,0.49340659340659343,91
"('chrI', 1, 276)",+,,8.429,3.649658740960655,11.512925464970229,0.5867142857142847,0.3837142857142842,0.5461428571428545,0.0,0.0,21.391,0.2730909090909091,275
"('chrI', 1, 241)",+,,8.278,11.512925464970229,11.512925464970229,0.4961428571428564,0.061,0.6262857142857093,-10.2,0.0,23.944,0.26583333333333337,240
"('chrI', 1, 294)",+,,13.833,11.512925464970229,11.512925464970229,0.4431428571428574,0.5454285714285698,0.8390000000000035,0.0,0.0,29.957,0.33344709897610925,293
"('chrI', 1, 61)",+,,14.996,11.512925464970229,11.512925464970229,0.7525714285714217,0.8952857142857169,0.8984285714285748,0.0,0.0,20.422,0.4666666666666667,60
"('chrI', 1, 61)",+,,10.494,1.241328590869705,11.512925464970229,0.4287142857142846,0.1398571428571425,0.3058571428571429,0.0,0.0,10.847,0.53,60
"('chrI', 1, 73)",+,,13.382,11.512925464970229,11.512925464970229,0.4128571428571441,0.1239999999999991,0.8138571428571443,0.0,0.0,18.109,0.45138888888888895,72
"('chrI', 1, 163)",+,,6.001,0.1266976530459575,0.959720289801491,0.5348571428571416,0.4345714285714289,0.8262857142857183,-18.133707865168553,0.0,23.595,0.3716049382716049,162
"('chrI', 1, 442)",+,,12.14,11.512925464970229,11.512925464970229,0.8418571428571471,0.5749999999999938,0.6751428571428497,0.0,0.0,37.25,0.3335600907029478,441
"('chrI', 1, 418)",+,,14.891,11.512925464970229,11.512925464970229,0.3208571428571407,0.6255714285714251,0.5261428571428577,0.0,0.0,20.402,0.21175059952038372,417
"('chrI', 1, 59)",+,,17.124,11.512925464970229,11.512925464970229,0.5179999999999997,0.260142857142855,0.1914285714285701,0.0,0.0,7.375,0.5051724137931035,58
"('chrI', 1, 102)",+,,26.659,11.512925464970229,5.809142990314028,0.0269999999999999,0.6889999999999957,0.6978571428571361,-5.97888888888888,0.0,13.34,0.401980198019802,101
"('chrI', 1, 360)",+,,16.687,3.540459448995663,11.512925464970229,0.6554285714285701,0.3468571428571419,0.6608571428571416,-36.38,0.0,35.952,0.34261838440111425,359
"('chrI', 1, 111)",+,,18.037,1.3432348716594436,2.322787800311565,0.6994285714285665,0.5732857142857128,0.4622857142857136,0.0,0.0,13.7,0.3563636363636363,110
"('chrI', 1, 79)",+,,14.949,2.145581344184381,11.512925464970229,0.5115714285714282,0.5322857142857151,0.8275714285714312,-2.0,0.0,16.616,0.4230769230769231,78
"('chrI', 1, 64)",+,,9.827,0.0100503358535014,11.512925464970229,0.199428571428571,0.1364285714285713,0.6792857142857113,0.0,0.0,13.495,0.46349206349206346,63
"('chrI', 1, 85)",+,,37.623,11.512925464970229,11.512925464970229,0.3422857142857147,0.8491428571428619,0.2691428571428544,0.0,0.0,15.004,0.525,84
"('chrI', 1, 63)",+,,10.019,0.0555127099302588,4.710530701645918,0.3561428571428557,0.3215714285714284,0.3009999999999999,0.0,0.0,13.053,0.4338709677419355,62
"('chrI', 1, 76)",+,,25.756,4.199705077879927,11.512925464970229,0.0418571428571428,0.711571428571421,0.4012857142857169,-2.0,0.0,12.225,0.38933333333333336,75
"('chrI', 1, 77)",+,,17.842,11.512925464970229,5.809142990314028,0.2729999999999971,0.9737142857142864,0.4944285714285757,0.0,0.0,10.832,0.3907894736842105,76
"('chrI', 1, 73)",+,,18.445,11.512925464970229,11.512925464970229,0.4808571428571425,0.118285714285715,0.4068571428571432,0.0,0.0,10.675,0.44305555555555554,72
"('chrI', 1, 63)",+,,20.507,11.512925464970229,11.512925464970229,0.113428571428572,0.1471428571428568,0.5712857142857077,0.0,0.0,12.534,0.36451612903225816,62
"('chrI', 1, 296)",+,,28.945,5.298317366548036,5.521460917862246,0.1368571428571427,0.838571428571433,0.663285714285712,0.0,0.0,18.768,0.25254237288135595,295
"('chrI', 1, 211)",+,,24.405,11.512925464970229,11.512925464970229,0.1427142857142855,0.5004285714285688,0.5677142857142866,-6.7,0.0,22.825,0.30904761904761907,210
"('chrI', 1, 341)",+,,3.017,0.006018072325563,11.512925464970229,0.7397142857142769,0.0049999999999999,0.5937142857142803,-8.85,0.0,24.027,0.25882352941176473,340
"('chrI', 1, 372)",+,,16.926,11.512925464970229,11.512925464970229,0.4444285714285688,0.6295714285714251,0.8627142857142917,0.0,0.0,19.038,0.22938005390835578,371
"('chrI', 1, 54)",+,,13.078,11.512925464970229,11.512925464970229,0.4567142857142853,0.7422857142857114,0.8787142857142899,0.0,0.0,17.329,0.4811320754716982,53
"('chrI', 1, 98)",+,,23.292,6.907755278982137,11.512925464970229,0.0147142857142857,0.8645714285714337,0.783285714285709,-6.468055555555549,0.0,16.755,0.411340206185567,97
"('chrI', 1, 63)",+,,22.028,2.2256240518579173,11.512925464970229,0.3765714285714294,0.3861428571428578,0.315428571428572,0.0,0.0,9.832,0.4193548387096774,62
"('chrI', 1, 64)",+,,16.219,5.115995809754082,11.512925464970229,0.0708571428571429,0.5152857142857108,0.6441428571428534,0.0,0.0,14.959,0.49682539682539684,63
