ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 95)",+,,6.306,0.4064656084417478,6.907755278982137,0.4797142857142892,0.3252857142857148,0.61885714285714,-8.175,0.0,19.756,0.4904255319148936,94
"('chrI', 1, 350)",+,,10.836,0.1779312084926617,0.0555127099302588,0.6035714285714289,0.2192857142857132,0.4264285714285715,-12.187755102040827,-2.939999999999998,34.764,0.3550143266475645,349
"('chrI', 1, 112)",+,,21.165,6.214608098422191,2.538307426515116,0.4898571428571441,0.1077142857142857,0.7939999999999979,0.0,-7.3555555555555605,13.804,0.3558558558558559,111
"('chrI', 1, 76)",+,,5.282,0.0932123817221787,11.512925464970229,0.619285714285711,0.0085714285714285,0.2971428571428544,0.0,0.0,15.036,0.6093333333333333,75
"('chrI', 1, 130)",+,,27.886,5.809142990314028,2.453407982728629,0.6394285714285695,0.174714285714286,0.2008571428571414,-11.57236842105263,0.0,11.847,0.36589147286821705,129
"('chrI', 1, 530)",+,,7.693,0.390084006069862,11.512925464970229,0.6134285714285677,0.029,0.5245714285714302,-23.573,0.0,41.569,0.3177693761814745,529
"('chrI', 1, 466)",+,,20.874,5.521460917862246,4.3428059215206005,0.0831428571428573,0.1687142857142859,0.1280000000000002,-25.136000000000003,-5.821951219512192,25.678,0.29032258064516125,465
"('chrI', 1, 101)",+,,40.577,3.963316299815697,11.512925464970229,0.1828571428571423,0.6915714285714205,0.2427142857142841,0.0,-2.8333333333333335,19.881,0.483,100
"('chrI', 1, 115)",+,,23.25,11.512925464970229,0.0130852395486554,0.1209999999999999,0.2727142857142845,0.6942857142857103,-4.002941176470583,-7.750000000000002,9.737,0.28947368421052627,114
"('chrI', 1, 89)",+,,17.13,1.3470736479666092,2.900422093749666,0.6898571428571408,0.1925714285714278,0.564285714285712,0.0,0.0,12.154,0.4556818181818182,88
"('chrI', 1, 69)",+,,18.085,11.512925464970229,1.6347557204183902,0.7028571428571392,0.1645714285714289,0.0814285714285713,0.0,0.0,7.508,0.6220588235294117,68
"('chrI', 1, 68)",+,,14.006,11.512925464970229,11.512925464970229,0.837428571428576,0.5522857142857087,0.2661428571428542,0.0,0.0,14.159,0.4925373134328358,67
"('chrI', 1, 315)",+,,23.07,2.577021938695806,0.5978370007556204,0.609285714285713,0.5835714285714244,0.2408571428571421,-14.93650793650792,-1.8294117647058823,15.976,0.27452229299363057,314
"('chrI', 1, 389)",+,,39.886,5.809142990314028,4.074541934925921,0.2548571428571409,0.2205714285714275,0.0521428571428571,-10.213978494623639,0.0,19.842,0.2791237113402062,388
"('chrI', 1, 531)",+,,20.23,1.3394107752210402,11.512925464970229,0.4114285714285711,0.2787142857142854,0.3975714285714296,-13.100000000000007,-6.399999999999995,30.036,0.27264150943396226,530
"('chrI', 1, 481)",+,,44.971,11.512925464970229,11.512925464970229,0.5581428571428515,0.0455714285714285,0.1275714285714285,0.0,0.0,51.111,0.30625,480
"('chrI', 1, 87)",+,,12.545,0.9702190738997108,11.512925464970229,0.610999999999999,0.2240000000000001,0.2721428571428573,-1.45,0.0,10.794,0.47906976744186053,86
"('chrI', 1, 375)",+,,35.23,3.170085660698769,5.521460917862246,0.4638571428571414,0.1047142857142858,0.5254285714285706,-9.85,-3.8666666666666667,25.561,0.2518716577540107,374
"('chrI', 1, 384)",+,,40.823,11.512925464970229,11.512925464970229,0.1842857142857143,0.0677142857142857,0.1837142857142855,-8.4,0.0,19.976,0.24020887728459533,383
"('chrI', 1, 539)",+,,14.657,2.718100536955712,0.0387408283164305,0.7119999999999955,0.3358571428571398,0.0685714285714286,-10.409374999999981,-3.6836956521739066,23.857,0.27657992565055756,538
"('chrI', 1, 87)",+,,19.715,3.4112477175156566,11.512925464970229,0.4962857142857135,0.2532857142857141,0.1675714285714286,0.0,0.0,8.353,0.5837209302325581,86
"('chrI', 1, 334)",+,,28.821,6.214608098422191,0.507497833673316,0.2762857142857123,0.2664285714285705,0.5581428571428556,-15.347999999999981,-2.1,42.414,0.3627627627627627,333
"('chrI', 1, 92)",+,,26.203,11.512925464970229,2.7806208939370456,0.1989999999999994,0.5075714285714242,0.4478571428571426,0.0,-2.2,11.918,0.421978021978022,91
"('chrI', 1, 116)",+,,12.865,0.5960204698292225,2.8302178350764176,0.5541428571428569,0.1521428571428569,0.6654285714285687,-5.880392156862745,0.0,11.12,0.39391304347826084,115
"('chrI', 1, 370)",+,,12.3,5.809142990314028,11.512925464970229,0.601857142857142,0.361571428571428,0.3007142857142839,-12.7,0.0,21.473,0.2127371273712737,369
"('chrI', 1, 115)",+,,27.088,11.512925464970229,2.2256240518579173,0.4228571428571437,0.5048571428571439,0.4051428571428583,0.0,0.0,11.822,0.4245614035087719,114
"('chrI', 1, 85)",+,,20.74,4.509860006183766,11.512925464970229,0.7917142857142864,0.5885714285714271,0.8524285714285769,0.0,0.0,8.602,0.375,84
"('chrI', 1, 75)",+,,25.102,2.2072749131897207,11.512925464970229,0.2418571428571432,0.0825714285714286,0.1231428571428572,0.0,0.0,4.971,0.568918918918919,74
"('chrI', 1, 92)",+,,14.616,0.5395680926316447,0.789658080940789,0.673999999999995,0.4512857142857156,0.387857142857144,0.0,-3.866000000000003,16.403,0.46813186813186813,91
"('chrI', 1, 367)",+,,19.792,1.980501593824932,11.512925464970229,0.6209999999999971,0.5152857142857166,0.411285714285713,-15.789285714285713,0.0,24.628,0.2907103825136612,366
"('chrI', 1, 445)",+,,15.137,0.5259392615760389,0.2744368457017603,0.6402857142857123,0.0157142857142857,0.0745714285714287,-14.524000000000015,-1.7000000000000013,19.016,0.24121621621621622,444
"('chrI', 1, 98)",+,,23.026,5.809142990314028,11.512925464970229,0.7882857142857174,0.0135714285714285,0.1047142857142862,0.0,-4.1,10.862,0.37731958762886597,97
"('chrI', 1, 500)",+,,13.537,11.512925464970229,0.2665731092415457,0.4590000000000023,0.2384285714285698,0.3527142857142862,0.0,-1.8,47.955,0.288376753507014,499
"('chrI', 1, 419)",+,,34.04,5.115995809754082,5.298317366548036,0.5298571428571404,0.3947142857142859,0.1591428571428569,-19.951162790697694,-3.2846153846153836,24.743,0.22511961722488044,418
"('chrI', 1, 426)",+,,26.976,1.9661128563728327,2.419118909249997,0.6398571428571411,0.22542857142857,0.4428571428571444,-16.152777777777775,-7.056666666666666,25.337,0.2421176470588235,425
"('chrI', 1, 84)",+,,13.638,0.3989861420104552,2.430418464503931,0.6221428571428541,0.1264285714285712,0.1867142857142857,0.0,0.0,7.635,0.5481927710843373,83
"('chrI', 1, 89)",+,,29.589,11.512925464970229,11.512925464970229,0.4841428571428564,0.1092857142857146,0.0797142857142858,0.0,-0.8,4.414,0.5375,88
"('chrI', 1, 88)",+,,25.514,11.512925464970229,11.512925464970229,0.5494285714285669,0.504714285714282,0.3671428571428579,0.0,0.0,11.139,0.3206896551724138,87
"('chrI', 1, 91)",+,,13.976,6.214608098422191,11.512925464970229,0.7078571428571394,0.3074285714285719,0.1772857142857138,0.0,-3.9318181818181817,7.062,0.39,90
"('chrI', 1, 81)",+,,19.002,11.512925464970229,5.115995809754082,0.6161428571428554,0.0107142857142857,0.1991428571428568,0.0,0.0,9.074,0.45375000000000004,80
"('chrI', 1, 92)",+,,26.834,5.115995809754082,3.575550768806933,0.4925714285714276,0.5715714285714274,0.2732857142857121,0.0,0.0,12.154,0.45164835164835165,91
"('chrI', 1, 69)",+,,3.413,0.028399474521698,11.512925464970229,0.8371428571428615,0.0215714285714285,0.2767142857142827,0.0,0.0,6.497,0.4750000000000001,68
"('chrI', 1, 88)",+,,14.669,1.8904754421672127,0.1779312084926617,0.3974285714285714,0.0817142857142858,0.4002857142857147,0.0,-0.16326530612244897,8.805,0.3781609195402299,87
"('chrI', 1, 424)",+,,21.889,11.512925464970229,11.512925464970229,0.9845714285714292,0.698857142857134,0.1095714285714286,-27.61818181818182,0.0,39.86,0.31016548463356974,423
"('chrI', 1, 315)",+,,30.369,5.298317366548036,4.199705077879927,0.5622857142857094,0.7465714285714279,0.3657142857142858,-24.472340425531907,-3.1,34.028,0.2974522292993631,314
"('chrI', 1, 54)",+,,16.191,2.9565115604007097,11.512925464970229,0.2994285714285704,0.3527142857142865,0.2921428571428573,0.0,0.0,6.523,0.5150943396226415,53
"('chrI', 1, 53)",+,,17.743,0.9861768593383216,11.512925464970229,0.4944285714285725,0.2589999999999999,0.2787142857142845,0.0,0.0,5.627,0.6249999999999999,52
"('chrI', 1, 88)",+,,29.159,1.5141277326297755,2.1803674602697964,0.1918571428571424,0.0659999999999999,0.2935714285714276,0.0,-2.0,6.558,0.5655172413793104,87
"('chrI', 1, 124)",+,,13.332,0.7423374247507171,2.071473372030659,0.2892857142857143,0.2807142857142864,0.4369999999999997,-11.803278688524603,0.0,12.583,0.36016260162601627,123
"('chrI', 1, 484)",+,,17.771,5.298317366548036,11.512925464970229,0.6157142857142821,0.1397142857142859,0.1488571428571427,-9.808080808080822,0.0,19.042,0.2494824016563147,483
"('chrI', 1, 399)",+,,7.351,2.0635681925235456,11.512925464970229,0.8727142857142874,0.2602857142857125,0.6067142857142837,-11.342222222222238,-0.9600000000000002,24.221,0.2952261306532663,398
"('chrI', 1, 103)",+,,5.208,0.1485000083184439,0.4845083154486173,0.7567142857142763,0.1701428571428565,0.3002857142857116,-1.5999999999999999,-2.2894736842105274,15.211,0.46764705882352936,102
"('chrI', 1, 400)",+,,2.43,0.0120725812342692,0.5533852381847867,0.6494285714285685,0.4107142857142877,0.5425714285714258,-5.368115942028985,-1.0533333333333332,23.835,0.3112781954887218,399
"('chrI', 1, 357)",+,,27.506,2.8473122684357177,3.352407217492724,0.3664285714285739,0.0948571428571427,0.1427142857142851,-11.2125,0.0,26.918,0.3241573033707865,356
"('chrI', 1, 296)",+,,7.582,0.1935847490726654,11.512925464970229,0.7090000000000007,0.3377142857142861,0.3382857142857145,-9.358947368421047,0.0,15.981,0.3352542372881356,295
"('chrI', 1, 362)",+,,28.863,6.214608098422191,5.521460917862246,0.8002857142857142,0.3712857142857133,0.3762857142857149,-26.049,0.0,28.644,0.26454293628808867,361
"('chrI', 1, 394)",+,,18.745,4.509860006183766,5.298317366548036,0.7588571428571421,0.4080000000000021,0.3155714285714277,-10.650909090909092,0.0,24.976,0.31170483460559795,393
"('chrI', 1, 418)",+,,16.103,11.512925464970229,6.907755278982137,0.7785714285714289,0.1925714285714285,0.4741428571428587,-19.692857142857154,-4.168131868131861,21.598,0.2645083932853717,417
"('chrI', 1, 562)",+,,30.763,6.907755278982137,11.512925464970229,0.0932857142857143,0.0197142857142857,0.5854285714285667,-13.583333333333334,0.0,29.744,0.2340463458110517,561
"('chrI', 1, 98)",+,,20.596,2.8302178350764176,2.764620552590604,0.4749999999999963,0.571857142857142,0.1051428571428573,0.0,-0.8869565217391304,9.013,0.3855670103092783,97
"('chrI', 1, 71)",+,,16.863,0.5141645250315053,1.1270117631898076,0.3194285714285718,0.3801428571428556,0.4414285714285703,0.0,-4.0,10.245,0.47857142857142854,70
"('chrI', 1, 101)",+,,20.891,11.512925464970229,11.512925464970229,0.8372857142857194,0.0604285714285714,0.0900000000000001,-2.966666666666667,0.0,19.198,0.55,100
"('chrI', 1, 354)",+,,8.253,0.0779615414697118,1.565421027017326,0.5657142857142854,0.085142857142857,0.4151428571428566,-15.134374999999984,-7.913999999999988,17.573,0.30424929178470256,353
"('chrI', 1, 365)",+,,24.596,11.512925464970229,11.512925464970229,0.3304285714285715,0.1305714285714284,0.4978571428571423,-11.400000000000004,0.0,18.522,0.24725274725274726,364
"('chrI', 1, 98)",+,,28.947,4.422848629194137,4.268697949366879,0.604857142857139,0.8381428571428576,0.5032857142857129,0.0,0.0,10.992,0.5206185567010309,97
"('chrI', 1, 517)",+,,29.209,6.214608098422191,1.9661128563728327,0.5701428571428543,0.3337142857142855,0.2621428571428563,-16.40707070707069,-6.650505050505041,18.688,0.21608527131782945,516
"('chrI', 1, 437)",+,,31.667,4.135166556742356,11.512925464970229,0.0289999999999999,0.612142857142853,0.0695714285714286,-15.979999999999977,-5.861999999999989,21.621,0.24174311926605502,436
"('chrI', 1, 83)",+,,16.21,0.6733445532637656,3.816712825623821,0.4971428571428579,0.1639999999999997,0.1087142857142858,0.0,0.0,14.059,0.521951219512195,82
"('chrI', 1, 83)",+,,3.435,0.0314906670913708,0.1358197231425348,0.8478571428571479,0.016,0.2905714285714253,0.0,-2.4,11.998,0.5390243902439025,82
"('chrI', 1, 554)",+,,17.001,11.512925464970229,0.1232982163444936,0.7162857142857123,0.0627142857142857,0.3002857142857141,-6.2,-10.321999999999985,34.918,0.24593128390596738,553
"('chrI', 1, 262)",+,,14.498,0.8347107448817322,0.0130852395486554,0.577142857142855,0.2460000000000013,0.407999999999999,-6.061363636363635,-35.31799999999998,52.531,0.4157088122605364,261
"('chrI', 1, 104)",+,,11.068,0.4636240222816965,6.214608098422191,0.5732857142857116,0.0302857142857142,0.7539999999999997,-5.800000000000005,0.0,11.064,0.38834951456310673,103
"('chrI', 1, 77)",+,,25.129,5.809142990314028,11.512925464970229,0.8357142857142873,0.6457142857142814,0.6277142857142796,0.0,0.0,10.35,0.5368421052631579,76
"('chrI', 1, 87)",+,,15.926,4.710530701645918,11.512925464970229,0.7311428571428508,0.0082857142857142,0.4700000000000019,0.0,0.0,13.17,0.5104651162790698,86
"('chrI', 1, 75)",+,,18.56,4.074541934925921,2.375155785828881,0.4861428571428559,0.2155714285714293,0.3857142857142871,0.0,0.0,7.548,0.5297297297297299,74
"('chrI', 1, 113)",+,,5.144,0.1381133021296342,11.512925464970229,0.8062857142857169,0.1521428571428568,0.3932857142857115,-3.622033898305083,-2.1,8.753,0.37410714285714286,112
"('chrI', 1, 200)",+,,39.989,11.512925464970229,11.512925464970229,0.7168571428571424,0.2044285714285704,0.8112857142857135,0.0,-3.2000000000000015,27.425,0.41608040201005025,199
"('chrI', 1, 90)",+,,19.498,2.882403588246988,3.649658740960655,0.4064285714285713,0.2012857142857129,0.2899999999999988,-4.2,0.0,20.166,0.45280898876404496,89
"('chrI', 1, 98)",+,,15.734,11.512925464970229,0.0120725812342692,0.4940000000000009,0.6685714285714258,0.541714285714287,0.0,-11.127835051546402,9.188,0.34845360824742266,97
"('chrI', 1, 70)",+,,13.59,11.512925464970229,11.512925464970229,0.387571428571427,0.0929999999999998,0.6901428571428487,0.0,0.0,13.147,0.4057971014492754,69
"('chrI', 1, 332)",+,,29.441,6.907755278982137,0.1461825101780814,0.0608571428571428,0.7418571428571409,0.1260000000000002,-24.574444444444428,-1.3105263157894718,24.948,0.2749244712990936,331
"('chrI', 1, 440)",+,,7.49,0.8818893051568227,11.512925464970229,0.7168571428571419,0.0808571428571428,0.3261428571428562,-10.204166666666683,-9.555555555555546,24.697,0.2815489749430524,439
"('chrI', 1, 444)",+,,24.118,6.214608098422191,11.512925464970229,0.8207142857142856,0.2934285714285721,0.3774285714285709,-14.755555555555553,-6.199999999999993,26.898,0.24537246049661401,443
"('chrI', 1, 421)",+,,36.835,2.864704011147587,3.506557897319982,0.6689999999999984,0.3482857142857148,0.2115714285714269,-7.771428571428571,-5.114999999999998,21.741,0.27523809523809517,420
"('chrI', 1, 544)",+,,29.318,6.214608098422191,5.809142990314028,0.5598571428571412,0.1474285714285712,0.4071428571428557,0.0,0.0,23.436,0.2014732965009208,543
"('chrI', 1, 388)",+,,18.098,1.3394107752210402,5.115995809754082,0.3960000000000006,0.2010000000000008,0.175857142857143,-14.206382978723413,0.0,23.85,0.2718346253229974,387
"('chrI', 1, 450)",+,,26.208,6.214608098422191,1.6928195213731514,0.3022857142857147,0.1575714285714286,0.3467142857142867,-15.229032258064503,-2.975,23.095,0.2826280623608018,449
"('chrI', 1, 399)",+,,23.943,1.272965675812887,0.9364934391916744,0.5387142857142837,0.1994285714285709,0.4450000000000015,-20.601149425287378,-7.249333333333334,30.375,0.24849246231155778,398
"('chrI', 1, 96)",+,,12.756,11.512925464970229,3.0576076772720784,0.6061428571428543,0.0387142857142857,0.4122857142857137,0.0,0.0,12.049,0.5336842105263158,95
"('chrI', 1, 112)",+,,32.733,11.512925464970229,11.512925464970229,0.5678571428571395,0.7808571428571418,0.0682857142857143,0.0,0.0,13.803,0.34684684684684686,111
"('chrI', 1, 75)",+,,39.087,11.512925464970229,11.512925464970229,0.1721428571428565,0.0235714285714285,0.0909999999999999,0.0,0.0,3.994,0.7459459459459461,74
"('chrI', 1, 111)",+,,8.074,0.006018072325563,11.512925464970229,0.4568571428571436,0.058857142857143,0.7115714285714254,-6.408045977011484,0.0,19.555,0.4572727272727272,110
"('chrI', 1, 96)",+,,3.987,0.0212236364516266,0.0100503358535014,0.5689999999999973,0.2794285714285692,0.4515714285714247,0.0,-11.627083333333333,13.659,0.4726315789473685,95
"('chrI', 1, 437)",+,,16.232,2.7806208939370456,2.047942874620465,0.610571428571427,0.2268571428571432,0.4342857142857174,-16.318947368421075,-8.565957446808497,24.721,0.2786697247706422,436
"('chrI', 1, 441)",+,,23.313,11.512925464970229,5.809142990314028,0.4577142857142883,0.519285714285716,0.6404285714285671,-12.373333333333328,0.0,26.199,0.25249999999999995,440
"('chrI', 1, 105)",+,,31.126,5.809142990314028,4.509860006183766,0.7819999999999949,0.6998571428571341,0.2245714285714264,0.0,-2.04,16.353,0.40576923076923077,104
"('chrI', 1, 117)",+,,13.168,11.512925464970229,3.324236340526028,0.9498571428571432,0.1111428571428569,0.2107142857142841,-10.545882352941165,0.0,17.22,0.4043103448275862,116
"('chrI', 1, 530)",+,,5.67,0.1323891880457456,0.2587707289573608,0.914714285714286,0.1074285714285715,0.3339999999999972,-18.611940298507463,-4.720689655172408,27.448,0.2616257088846881,529
"('chrI', 1, 459)",+,,6.428,0.1960148839259572,3.863232841258714,0.9177142857142866,0.1847142857142854,0.4357142857142881,-13.47789473684212,-7.997999999999996,28.18,0.340174672489083,458
"('chrI', 1, 400)",+,,23.782,11.512925464970229,3.506557897319982,0.0588571428571428,0.1487142857142849,0.4038571428571443,-15.689473684210528,0.0,31.436,0.27944862155388467,399
"('chrI', 1, 375)",+,,16.661,2.2537949288246137,0.0640053299759124,0.6255714285714272,0.4738571428571456,0.1597142857142848,-15.571739130434796,-21.875999999999987,24.436,0.2596256684491979,374
"('chrI', 1, 540)",+,,23.809,11.512925464970229,11.512925464970229,0.8204285714285697,0.0378571428571428,0.566714285714283,-8.277272727272724,0.0,28.89,0.28274582560296846,539
"('chrI', 1, 86)",+,,23.797,2.995732273553991,3.611918412977808,0.4114285714285715,0.375285714285714,0.6529999999999947,0.0,0.0,14.736,0.46117647058823524,85
"('chrI', 1, 351)",+,,14.244,11.512925464970229,4.422848629194137,0.2502857142857126,0.0822857142857143,0.5579999999999964,0.0,0.0,25.871,0.26657142857142857,350
