ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 1, 91)",+,,12.268,2.2256240518579173,11.512925464970229,0.5604285714285676,0.1015714285714287,0.3270000000000005,-7.0842696629213595,0.0,12.645,0.25
"('chrI', 1, 367)",+,,37.47,11.512925464970229,4.710530701645918,0.627999999999998,0.4340000000000016,0.2619999999999977,0.0,0.0,22.782,0.15765027322404374
"('chrI', 1, 114)",+,,4.857,0.6386589952758756,11.512925464970229,0.7692857142857153,0.8864285714285751,0.3934285714285742,0.0,-6.612244897959182,15.584,0.2053097345132744
"('chrI', 1, 76)",+,,12.664,3.540459448995663,2.1892564076870427,0.9787142857142868,0.2838571428571421,0.3952857142857126,0.0,0.0,11.28,0.21733333333333338
"('chrI', 1, 129)",+,,15.698,11.512925464970229,0.0070246149369644,0.7988571428571435,0.4535714285714314,0.6977142857142772,-2.36212121212121,0.0,15.997,0.19765625
"('chrI', 1, 507)",+,,18.355,11.512925464970229,11.512925464970229,0.9995714285714288,0.58028571428571,0.8165714285714307,0.0,0.0,21.306,0.13320158102766802
"('chrI', 1, 385)",+,,23.362,11.512925464970229,3.540459448995663,0.2552857142857141,0.2947142857142843,0.7049999999999914,-5.5,0.0,22.267,0.20833333333333334
"('chrI', 1, 98)",+,,33.316,11.512925464970229,11.512925464970229,0.3118571428571419,0.3724285714285721,0.1045714285714289,0.0,0.0,21.937,0.4412371134020618
"('chrI', 1, 117)",+,,24.57,11.512925464970229,11.512925464970229,0.5258571428571452,0.0211428571428571,0.5431428571428588,-1.7000000000000006,0.0,17.974,0.3560344827586207
"('chrI', 1, 86)",+,,15.83,3.1941832122778293,11.512925464970229,0.6387142857142832,0.0324285714285714,0.5355714285714264,0.0,0.0,9.461,0.23058823529411768
