ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 399)",+,,28.408,11.512925464970229,11.512925464970229,0.2955714285714261,0.0098571428571428,0.7872857142857125,-13.37346938775508,0.0,93.185,0.3439698492462311,398
"('chrI', 1, 155)",+,,23.475,2.8302178350764176,4.710530701645918,0.5302857142857139,0.3974285714285714,0.3509999999999982,-13.05806451612903,0.0,36.969,0.5175324675324675,154
"('chrI', 1, 192)",+,,28.135,11.512925464970229,11.512925464970229,0.346999999999999,0.0535714285714285,0.5372857142857176,-4.6370967741935445,-8.11111111111111,29.758,0.4680628272251309,191
"('chrI', 1, 108)",+,,8.686,0.002002002670673,0.2718087232954908,0.7035714285714223,0.3247142857142847,0.2354285714285713,-3.85,-6.85652173913044,21.609,0.5626168224299065,107
"('chrI', 1, 104)",+,,50.631,11.512925464970229,6.214608098422191,0.0552857142857142,0.1192857142857135,0.1155714285714285,0.0,0.0,20.111,0.6233009708737864,103
"('chrI', 1, 98)",+,,14.876,11.512925464970229,2.375155785828881,0.6687142857142796,0.4198571428571439,0.5277142857142815,0.0,0.0,25.721,0.4711340206185567,97
"('chrI', 1, 326)",+,,28.321,6.907755278982137,3.381394754365976,0.3619999999999992,0.5879999999999995,0.6988571428571391,-6.779999999999999,0.0,88.159,0.3806153846153847,325
"('chrI', 1, 427)",+,,26.354,11.512925464970229,3.218875824868201,0.5207142857142859,0.5688571428571402,0.848571428571431,0.0,-3.2113636363636364,96.824,0.2995305164319249,426
"('chrI', 1, 489)",+,,33.554,11.512925464970229,11.512925464970229,0.2424285714285688,0.1864285714285703,0.3654285714285695,0.0,-4.631034482758614,145.951,0.2444672131147541,488
"('chrI', 1, 505)",+,,30.823,11.512925464970229,3.0576076772720784,0.6674285714285697,0.6009999999999976,0.4534285714285692,-11.45,-1.5333333333333332,132.514,0.3152777777777777,504
