ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 335)",+,,13.869,0.2107210313156525,3.0576076772720784,0.528857142857143,0.1074285714285715,0.0737142857142857,0.0,0.0,94.826,0.3341317365269461,334
"('chrI', 1, 75)",+,,27.838,3.575550768806933,11.512925464970229,0.286428571428572,0.5567142857142803,0.2835714285714291,0.0,0.0,13.772,0.6486486486486485,74
"('chrI', 1, 112)",+,,23.615,11.512925464970229,6.907755278982137,0.3642857142857182,0.0971428571428576,0.5718571428571373,-5.9,-1.733333333333334,26.652,0.4099099099099098,111
"('chrI', 1, 140)",+,,19.409,4.605170185988091,11.512925464970229,0.4089999999999997,0.4898571428571422,0.2404285714285714,-9.70210526315791,-3.5,28.583,0.479136690647482,139
"('chrI', 1, 408)",+,,20.903,2.8134107167600364,6.214608098422191,0.5617142857142844,0.4604285714285716,0.727142857142859,-11.355555555555556,0.0,111.465,0.3061425061425061,407
"('chrI', 1, 131)",+,,18.548,1.973281345851445,11.512925464970229,0.2007142857142853,0.8460000000000046,0.5158571428571436,0.0,-10.831868131868116,16.003,0.4507692307692307,130
"('chrI', 1, 75)",+,,14.944,11.512925464970229,11.512925464970229,0.4372857142857133,0.3582857142857145,0.4962857142857146,0.0,0.0,12.454,0.4743243243243243,74
"('chrI', 1, 86)",+,,29.948,11.512925464970229,11.512925464970229,0.0018571428571428,0.2645714285714258,0.7379999999999942,0.0,0.0,21.267,0.5611764705882353,85
"('chrI', 1, 70)",+,,18.676,11.512925464970229,11.512925464970229,0.2741428571428561,0.2748571428571418,0.4461428571428586,0.0,0.0,18.883,0.536231884057971,69
"('chrI', 1, 75)",+,,14.149,1.374365790254617,0.8393296907380268,0.3875714285714299,0.3355714285714297,0.6248571428571434,0.0,0.0,15.193,0.5189189189189188,74
"('chrI', 1, 314)",+,,21.356,11.512925464970229,11.512925464970229,0.5587142857142864,0.5668571428571406,0.6238571428571393,-8.2,0.0,79.864,0.303514376996805,313
"('chrI', 1, 281)",+,,5.46,0.002002002670673,0.089924707527987,0.8211428571428595,0.3081428571428542,0.1794285714285695,-17.369072164948467,-6.299999999999999,79.56,0.3489285714285715,280
"('chrI', 1, 408)",+,,18.618,11.512925464970229,11.512925464970229,0.6448571428571386,0.1632857142857134,0.7649999999999971,0.0,0.0,103.075,0.3216216216216216,407
"('chrI', 1, 406)",+,,30.977,11.512925464970229,3.218875824868201,0.6148571428571429,0.0311428571428571,0.5041428571428583,0.0,-5.599999999999999,116.548,0.3150617283950617,405
"('chrI', 1, 123)",+,,14.513,6.214608098422191,11.512925464970229,0.1928571428571422,0.2368571428571409,0.1298571428571422,-8.839795918367342,0.0,26.651,0.442622950819672,122
"('chrI', 1, 306)",+,,38.505,11.512925464970229,6.907755278982137,0.4702857142857169,0.4150000000000013,0.3124285714285683,-11.175609756097568,-5.9,78.993,0.3786885245901639,305
"('chrI', 1, 375)",+,,13.719,0.0010005003335835,11.512925464970229,0.9194285714285728,0.0097142857142857,0.6375714285714242,-14.266666666666666,-4.15,113.543,0.2377005347593583,374
"('chrI', 1, 351)",+,,18.219,11.512925464970229,11.512925464970229,0.4092857142857163,0.2835714285714256,0.9691428571428587,0.0,0.0,103.603,0.3617142857142857,350
"('chrI', 1, 360)",+,,26.857,4.8283137373023015,2.8473122684357177,0.6118571428571385,0.5352857142857147,0.9452857142857152,-8.3,-2.2,107.807,0.2888579387186629,359
"('chrI', 1, 85)",+,,18.531,11.512925464970229,11.512925464970229,0.1925714285714277,0.014,0.4342857142857173,0.0,0.0,17.226,0.5678571428571428,84
"('chrI', 1, 116)",+,,15.12,0.7678707267558817,11.512925464970229,0.2730000000000003,0.0281428571428571,0.6079999999999973,-4.13411764705882,0.0,21.791,0.4652173913043478,115
"('chrI', 1, 331)",+,,20.226,2.9759296462578115,11.512925464970229,0.1961428571428569,0.3562857142857152,0.7227142857142874,0.0,0.0,77.059,0.3760606060606061,330
"('chrI', 1, 71)",+,,7.287,11.512925464970229,0.0470916075338505,0.957714285714288,0.8041428571428592,0.7754285714285664,0.0,0.0,14.051,0.5,70
"('chrI', 1, 72)",+,,5.925,0.2218943319137777,11.512925464970229,0.6697142857142802,0.3241428571428572,0.6044285714285688,0.0,0.0,16.622,0.6028169014084507,71
"('chrI', 1, 92)",+,,7.309,0.0222456089473197,0.0010005003335835,0.5109999999999969,0.5717142857142794,0.697857142857135,0.0,-7.752525252525263,18.964,0.5626373626373625,91
"('chrI', 1, 76)",+,,18.624,2.364460496712133,11.512925464970229,0.0621428571428571,0.0135714285714285,0.1095714285714286,0.0,0.0,15.817,0.5559999999999999,75
"('chrI', 1, 288)",+,,13.568,6.214608098422191,11.512925464970229,0.5325714285714245,0.529285714285711,0.6821428571428501,0.0,0.0,46.133,0.375609756097561,287
"('chrI', 1, 365)",+,,15.835,11.512925464970229,3.772261063052988,0.8045714285714307,0.1464285714285714,0.8387142857142886,-11.768965517241364,-7.8,92.906,0.303021978021978,364
"('chrI', 1, 70)",+,,23.972,11.512925464970229,11.512925464970229,0.1521428571428567,0.3977142857142863,0.2399999999999976,0.0,0.0,11.038,0.5840579710144927,69
"('chrI', 1, 397)",+,,12.575,3.381394754365976,0.2890162954649176,0.6981428571428541,0.2941428571428566,0.738142857142854,0.0,-8.95,113.257,0.3015151515151515,396
"('chrI', 1, 447)",+,,16.159,6.214608098422191,11.512925464970229,0.6757142857142792,0.6451428571428526,0.8417142857142911,0.0,0.0,124.146,0.3977578475336322,446
"('chrI', 1, 383)",+,,22.039,3.963316299815697,5.115995809754082,0.8507142857142894,0.2777142857142828,0.5160000000000038,-8.3,-8.984946236559152,109.12,0.2819371727748691,382
"('chrI', 1, 81)",+,,23.181,5.521460917862246,11.512925464970229,0.2982857142857108,0.3715714285714285,0.396428571428573,0.0,0.0,12.53,0.5112500000000001,80
"('chrI', 1, 101)",+,,30.756,6.907755278982137,3.729701448634192,0.29885714285714,0.0565714285714287,0.3091428571428572,-4.4,0.0,12.894,0.4760000000000001,100
"('chrI', 1, 69)",+,,15.314,5.298317366548036,4.509860006183766,0.2357142857142838,0.1069999999999998,0.3299999999999974,0.0,0.0,19.566,0.5338235294117646,68
"('chrI', 1, 84)",+,,11.173,11.512925464970229,11.512925464970229,0.816571428571429,0.3887142857142838,0.5667142857142796,-6.233333333333334,0.0,16.511,0.5626506024096385,83
"('chrI', 1, 113)",+,,32.408,6.907755278982137,4.268697949366879,0.2252857142857133,0.5167142857142818,0.7407142857142783,0.0,-3.167857142857144,21.772,0.4625,112
"('chrI', 1, 69)",+,,9.339,0.3581045367483269,4.8283137373023015,0.529571428571431,0.2145714285714272,0.5647142857142803,0.0,0.0,13.85,0.6147058823529412,68
"('chrI', 1, 79)",+,,16.257,1.5050778971098575,5.115995809754082,0.5264285714285704,0.4421428571428596,0.8884285714285692,0.0,0.0,16.319,0.4807692307692308,78
"('chrI', 1, 219)",+,,22.573,11.512925464970229,5.809142990314028,0.4467142857142838,0.2488571428571418,0.4268571428571455,0.0,0.0,44.97,0.4252293577981652,218
