ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 1, 95)",+,,23.005,3.540459448995663,11.512925464970229,0.0584285714285714,0.2739999999999975,0.681428571428569,-7.899999999999986,0.0,21.912,0.3702127659574469
"('chrI', 1, 350)",+,,14.217,2.3434070875143007,6.907755278982137,0.6615714285714286,0.4540000000000017,0.5785714285714257,0.0,0.0,61.365,0.3564469914040115
"('chrI', 1, 112)",+,,32.818,11.512925464970229,11.512925464970229,0.1875714285714287,0.5219999999999965,0.8332857142857173,0.0,-1.3444444444444446,21.361,0.3801801801801802
"('chrI', 1, 76)",+,,15.498,11.512925464970229,11.512925464970229,0.5864285714285735,0.0617142857142856,0.1230000000000004,0.0,0.0,12.072,0.5479999999999999
"('chrI', 1, 130)",+,,32.052,11.512925464970229,11.512925464970229,0.5289999999999975,0.2227142857142849,0.4594285714285697,-9.594029850746264,0.0,19.361,0.4472868217054263
"('chrI', 1, 530)",+,,15.145,1.523260216193048,11.512925464970229,0.5172857142857127,0.3204285714285721,0.2502857142857129,0.0,0.0,29.834,0.24026465028355387
"('chrI', 1, 466)",+,,24.091,11.512925464970229,11.512925464970229,0.7844285714285727,0.1744285714285715,0.8421428571428625,0.0,-5.1999999999999975,30.038,0.18516129032258064
"('chrI', 1, 101)",+,,28.983,11.512925464970229,3.506557897319982,0.4278571428571424,0.7298571428571408,0.5357142857142887,0.0,-6.7,21.375,0.441
"('chrI', 1, 115)",+,,27.224,11.512925464970229,11.512925464970229,0.6567142857142845,0.5412857142857104,0.2331428571428558,-1.65,0.0,9.121,0.3403508771929824
"('chrI', 1, 89)",+,,25.41,6.214608098422191,11.512925464970229,0.3002857142857149,0.1524285714285705,0.7145714285714276,0.0,0.0,16.778,0.4784090909090909
"('chrI', 1, 69)",+,,26.275,3.123565645063876,11.512925464970229,0.27242857142857,0.2714285714285719,0.376428571428571,0.0,0.0,7.507,0.5338235294117647
"('chrI', 1, 68)",+,,17.701,11.512925464970229,11.512925464970229,0.9215714285714286,0.3722857142857155,0.0544285714285716,0.0,0.0,8.764,0.5671641791044777
"('chrI', 1, 315)",+,,31.545,5.298317366548036,2.703062659591171,0.5698571428571394,0.4502857142857168,0.3905714285714321,-6.5,0.0,14.783,0.2461783439490446
"('chrI', 1, 389)",+,,29.772,2.617295837833746,2.162823150618887,0.6548571428571383,0.1489999999999986,0.5745714285714262,0.0,-3.899999999999999,20.015,0.26185567010309274
"('chrI', 1, 531)",+,,33.056,11.512925464970229,3.473768074496991,0.831857142857145,0.8344285714285742,0.428000000000003,0.0,0.0,26.04,0.19641509433962268
"('chrI', 1, 481)",+,,35.872,11.512925464970229,5.115995809754082,0.5198571428571443,0.4101428571428568,0.6989999999999913,-14.09111111111111,-5.036956521739131,24.426,0.22750000000000004
"('chrI', 1, 87)",+,,18.747,2.2256240518579173,1.0642108619507773,0.3077142857142866,0.3590000000000001,0.4208571428571412,0.0,0.0,12.435,0.4593023255813953
