ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 1, 396)",+,,47.979,3.863232841258714,4.017383521085972,0.6595714285714247,0.7395714285714212,0.9612857142857144,-6.75,0.0,24.785,0.19949367088607595
"('chrI', 1, 89)",+,,13.2,0.1232982163444936,4.074541934925921,0.9291428571428564,0.4708571428571425,0.1412857142857143,-1.5,0.0,18.635,0.2852272727272728
"('chrI', 1, 123)",+,,19.512,5.298317366548036,4.8283137373023015,0.4708571428571417,0.3630000000000019,0.3257142857142865,0.0,-6.702352941176466,8.96,0.21475409836065573
"('chrI', 1, 246)",+,,23.201,3.963316299815697,11.512925464970229,0.2434285714285721,0.3342857142857141,0.5191428571428552,-3.9909090909090907,-0.0875,18.122,0.2346938775510204
"('chrI', 1, 440)",+,,32.224,6.214608098422191,11.512925464970229,0.5252857142857134,0.3047142857142858,0.7002857142857143,0.0,-8.905555555555557,23.699,0.13917995444191344
"('chrI', 1, 161)",+,,38.527,1.8018098050815563,5.521460917862246,0.5415714285714265,0.2777142857142855,0.0960000000000002,-6.116666666666666,-4.599999999999999,15.146,0.275625
"('chrI', 1, 108)",+,,20.27,11.512925464970229,5.298317366548036,0.5961428571428541,0.0710000000000001,0.4141428571428593,0.0,0.0,8.696,0.2878504672897196
"('chrI', 1, 93)",+,,17.553,11.512925464970229,4.605170185988091,0.6595714285714256,0.3954285714285724,0.4325714285714277,0.0,-4.988888888888889,14.084,0.29891304347826086
"('chrI', 1, 82)",+,,11.063,2.312635428847547,11.512925464970229,0.7038571428571427,0.0102857142857142,0.554999999999996,0.0,0.0,13.516,0.2876543209876543
"('chrI', 1, 518)",+,,21.385,0.3438997524500096,6.907755278982137,0.7318571428571358,0.6745714285714219,0.3481428571428582,-6.2,-5.0,23.126,0.15880077369439072
"('chrI', 1, 408)",+,,27.713,5.115995809754082,0.0888312137066157,0.9314285714285728,0.3428571428571408,0.6872857142857065,-3.525,0.0,22.113,0.1663390663390663
"('chrI', 1, 543)",+,,37.605,11.512925464970229,11.512925464970229,0.4127142857142846,0.1727142857142853,0.5167142857142837,-3.2,-6.9482142857142914,40.237,0.16051660516605165
"('chrI', 1, 598)",+,,77.75,11.512925464970229,11.512925464970229,0.7725714285714269,0.351000000000001,0.1679999999999984,0.0,-8.979629629629633,24.167,0.14221105527638192
"('chrI', 1, 316)",+,,30.387,11.512925464970229,11.512925464970229,0.6627142857142811,0.4998571428571453,0.3510000000000009,0.0,0.0,14.715,0.15999999999999998
"('chrI', 1, 415)",+,,34.11,1.7778565640590636,11.512925464970229,0.2375714285714291,0.6407142857142812,0.4839999999999964,-12.847368421052634,-7.534146341463418,19.599,0.21835748792270532
"('chrI', 1, 422)",+,,15.532,1.04412410338404,0.579818495252942,0.6971428571428551,0.4858571428571409,0.3681428571428582,0.0,-4.25227272727273,18.195,0.14394299287410925
