ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 61)",+,,20.208,11.512925464970229,11.512925464970229,0.0011428571428571,0.7101428571428486,0.4077142857142843,0.0,0.0,14.75,0.5649999999999998,60
"('chrI', 1, 330)",+,,18.853,11.512925464970229,11.512925464970229,0.672285714285708,0.0577142857142856,0.9545714285714292,-9.6,0.0,56.338,0.3999999999999999,329
"('chrI', 1, 79)",+,,14.228,0.0725706928348353,11.512925464970229,0.0277142857142856,0.0914285714285715,0.2547142857142841,0.0,0.0,16.751,0.5846153846153845,78
"('chrI', 1, 54)",+,,16.726,3.649658740960655,3.963316299815697,0.1304285714285716,0.1305714285714288,0.606714285714283,0.0,0.0,7.221,0.588679245283019,53
"('chrI', 1, 77)",+,,14.867,11.512925464970229,11.512925464970229,0.8230000000000013,0.5464285714285675,0.3755714285714286,0.0,0.0,11.499,0.6065789473684211,76
"('chrI', 1, 294)",+,,16.837,1.3470736479666092,11.512925464970229,0.3675714285714273,0.441428571428574,0.5150000000000022,-5.0,0.0,80.371,0.3249146757679181,293
"('chrI', 1, 78)",+,,16.541,3.4420193761824103,11.512925464970229,0.6285714285714237,0.0507142857142856,0.4277142857142889,0.0,0.0,11.816,0.4493506493506493,77
"('chrI', 1, 61)",+,,5.888,0.0080321716972642,11.512925464970229,0.589142857142856,0.0081428571428571,0.3268571428571401,0.0,0.0,15.418,0.5966666666666666,60
"('chrI', 1, 64)",+,,9.712,11.512925464970229,11.512925464970229,0.5024285714285742,0.0895714285714289,0.536571428571428,0.0,0.0,9.369,0.553968253968254,63
"('chrI', 1, 159)",+,,4.211,0.1960148839259572,11.512925464970229,0.6822857142857077,0.0279999999999999,0.7971428571428584,0.0,0.0,44.14,0.3911392405063291,158
"('chrI', 1, 230)",+,,23.635,11.512925464970229,11.512925464970229,0.106571428571429,0.5179999999999975,0.9842857142857148,0.0,0.0,60.768,0.3248908296943232,229
"('chrI', 1, 279)",+,,17.067,11.512925464970229,11.512925464970229,0.5442857142857166,0.1260000000000003,0.5745714285714285,0.0,0.0,82.861,0.4388489208633093,278
"('chrI', 1, 207)",+,,14.681,11.512925464970229,11.512925464970229,0.3398571428571429,0.3917142857142832,0.1405714285714281,-14.293750000000005,0.0,43.215,0.4601941747572816,206
"('chrI', 1, 302)",+,,19.856,11.512925464970229,11.512925464970229,0.8720000000000032,0.7980000000000008,0.6771428571428507,0.0,0.0,49.557,0.4003322259136213,301
"('chrI', 1, 60)",+,,22.166,11.512925464970229,11.512925464970229,0.4210000000000021,0.222571428571428,0.4035714285714292,0.0,0.0,8.145,0.5338983050847458,59
"('chrI', 1, 180)",+,,16.913,11.512925464970229,11.512925464970229,0.8414285714285765,0.5068571428571417,0.1548571428571429,0.0,0.0,42.352,0.3815642458100557,179
"('chrI', 1, 207)",+,,13.186,0.5481814103097596,11.512925464970229,0.45885714285714,0.6205714285714273,0.7374285714285654,-6.5200000000000005,0.0,56.887,0.2995145631067961,206
"('chrI', 1, 458)",+,,19.223,11.512925464970229,11.512925464970229,0.3570000000000012,0.6661428571428514,0.7507142857142783,0.0,0.0,139.335,0.2770240700218818,457
"('chrI', 1, 77)",+,,17.112,6.907755278982137,11.512925464970229,0.2538571428571399,0.6531428571428546,0.6942857142857101,-1.2,0.0,18.556,0.5973684210526315,76
"('chrI', 1, 94)",+,,38.5,11.512925464970229,3.575550768806933,0.0282857142857142,0.0762857142857143,0.6399999999999951,0.0,0.0,19.024,0.5935483870967743,93
"('chrI', 1, 72)",+,,14.79,11.512925464970229,11.512925464970229,0.6309999999999992,0.245857142857144,0.9119999999999996,0.0,0.0,16.715,0.5676056338028168,71
"('chrI', 1, 231)",+,,1.204,0.0140989243795016,11.512925464970229,0.6585714285714239,0.0092857142857142,0.6269999999999949,0.0,0.0,71.038,0.3152173913043478,230
"('chrI', 1, 71)",+,,29.517,5.809142990314028,11.512925464970229,0.1109999999999999,0.5665714285714235,0.6228571428571391,0.0,0.0,10.687,0.6971428571428572,70
"('chrI', 1, 404)",+,,16.61,11.512925464970229,0.2119563619236453,0.5577142857142829,0.6148571428571389,0.6688571428571358,-7.617647058823529,0.0,111.543,0.2826302729528536,403
"('chrI', 1, 317)",+,,10.37,5.298317366548036,11.512925464970229,0.571714285714283,0.0332857142857142,0.500999999999999,-12.7,0.0,78.133,0.3398734177215189,316
"('chrI', 1, 64)",+,,20.519,6.214608098422191,0.7486598904902041,0.5654285714285656,0.4674285714285701,0.159285714285714,0.0,0.0,4.655,0.6031746031746031,63
"('chrI', 1, 121)",+,,30.069,11.512925464970229,11.512925464970229,0.5648571428571372,0.1377142857142845,0.6018571428571401,0.0,-4.9,24.579,0.4266666666666666,120
"('chrI', 1, 66)",+,,19.063,11.512925464970229,11.512925464970229,0.4615714285714269,0.293,0.4684285714285702,0.0,0.0,8.405,0.6307692307692307,65
"('chrI', 1, 60)",+,,28.651,11.512925464970229,11.512925464970229,0.4027142857142868,0.9045714285714338,0.281999999999997,0.0,0.0,10.278,0.559322033898305,59
"('chrI', 1, 182)",+,,19.32,2.6882475738060303,1.9519282213808764,0.3355714285714284,0.3132857142857141,0.9241428571428588,-14.8,0.0,41.516,0.4629834254143646,181
"('chrI', 1, 55)",+,,25.457,11.512925464970229,11.512925464970229,0.0137142857142857,0.7811428571428561,0.7032857142857056,0.0,0.0,12.219,0.6407407407407406,54
"('chrI', 1, 64)",+,,18.275,3.611918412977808,11.512925464970229,0.7342857142857118,0.7064285714285709,0.0810000000000001,0.0,0.0,8.533,0.6317460317460317,63
"('chrI', 1, 350)",+,,8.3,0.231932057347289,11.512925464970229,0.572714285714286,0.0141428571428571,0.9247142857142872,0.0,0.0,112.424,0.3510028653295129,349
"('chrI', 1, 97)",+,,11.875,0.731888008876376,1.8018098050815563,0.1537142857142841,0.1329999999999998,0.1148571428571427,-8.649999999999997,0.0,20.276,0.5708333333333333,96
"('chrI', 1, 92)",+,,21.397,5.521460917862246,11.512925464970229,0.061,0.6292857142857118,0.793000000000001,0.0,0.0,22.379,0.6208791208791209,91
"('chrI', 1, 339)",+,,11.382,2.0874737133771,11.512925464970229,0.5089999999999976,0.7001428571428538,0.6597142857142829,0.0,0.0,101.176,0.2857988165680473,338
"('chrI', 1, 92)",+,,10.254,0.1566538100453768,0.2306718177350012,0.2239999999999988,0.6255714285714244,0.7441428571428561,-2.27,0.0,22.507,0.4560439560439561,91
"('chrI', 1, 276)",+,,18.839,5.298317366548036,11.512925464970229,0.8258571428571422,0.5867142857142796,0.182857142857141,-13.4,0.0,71.938,0.3436363636363636,275
"('chrI', 1, 241)",+,,20.905,11.512925464970229,11.512925464970229,0.0945714285714285,0.5679999999999993,0.7627142857142768,0.0,0.0,66.98,0.39125,240
"('chrI', 1, 294)",+,,13.224,6.214608098422191,11.512925464970229,0.3730000000000018,0.3184285714285714,0.2369999999999986,0.0,0.0,72.602,0.30580204778157,293
"('chrI', 1, 61)",+,,14.605,1.9379419794061368,2.09557092360972,0.4157142857142857,0.4788571428571441,0.428285714285713,0.0,0.0,13.373,0.5816666666666667,60
"('chrI', 1, 61)",+,,11.922,0.0171461588349705,11.512925464970229,0.7025714285714194,0.4872857142857154,0.0141428571428571,0.0,0.0,14.73,0.6016666666666666,60
"('chrI', 1, 73)",+,,18.829,11.512925464970229,11.512925464970229,0.0241428571428571,0.3382857142857143,0.4148571428571451,0.0,0.0,14.167,0.5402777777777777,72
"('chrI', 1, 163)",+,,16.431,11.512925464970229,11.512925464970229,0.4634285714285724,0.6328571428571393,0.5624285714285726,-27.6,0.0,34.742,0.3635802469135802,162
"('chrI', 1, 442)",+,,14.724,11.512925464970229,11.512925464970229,0.3408571428571421,0.6182857142857138,0.4472857142857137,0.0,0.0,139.132,0.2784580498866213,441
"('chrI', 1, 418)",+,,28.862,11.512925464970229,11.512925464970229,0.0651428571428572,0.5421428571428599,0.809142857142858,0.0,0.0,109.205,0.2863309352517985,417
