ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 26852, 27356)",-,NM_001178205.1,31.639,11.512925464970229,5.809142990314028,0.3614285714285729,0.7874285714285701,0.2325714285714263,0.0,0.0,124.585,0.2492063492063492
"('chrI', 32947, 33129)",+,NM_001178204.1,31.062,11.512925464970229,4.605170185988091,0.2485714285714281,0.4498571428571438,0.8018571428571448,-11.1,-3.6478260869565227,50.305,0.4769230769230769
"('chrI', 78695, 79036)",+,NM_001178180.1,57.028,2.764620552590604,3.1941832122778293,0.4075714285714296,0.3404285714285707,0.317571428571428,0.0,-9.03,94.397,0.3381231671554253
"('chrI', 118431, 118970)",-,NM_001178163.1,29.463,11.512925464970229,11.512925464970229,0.6474285714285679,0.4247142857142874,0.2689999999999992,-7.3187500000000005,-2.6147058823529417,113.96,0.30185528756957325
"('chrI', 123007, 123195)",+,NM_001178162.2,26.424,11.512925464970229,11.512925464970229,0.0262857142857142,0.415857142857144,0.2828571428571412,-22.364285714285707,0.0,45.145,0.5414893617021276
"('chrI', 123549, 123945)",+,NM_001178162.2,28.61,11.512925464970229,11.512925464970229,0.4182857142857164,0.0844285714285714,0.6871428571428532,-8.799999999999999,0.0,82.298,0.3929292929292929
"('chrI', 134306, 134442)",-,NM_001178155.2,28.652,4.8283137373023015,1.3093333199837622,0.6925714285714253,0.543142857142856,0.2697142857142842,-5.758666666666673,-7.530769230769229,31.296,0.48897058823529405
"('chrI', 148253, 148547)",-,NM_001178148.1,45.342,11.512925464970229,6.907755278982137,0.8258571428571474,0.4234285714285732,0.3031428571428573,0.0,-2.857142857142857,57.787,0.3741496598639456
"('chrI', 148253, 148481)",-,NM_001178148.1,49.797,11.512925464970229,11.512925464970229,0.1194285714285716,0.8745714285714269,0.3008571428571434,0.0,-2.9545454545454546,58.901,0.37719298245614036
"('chrM', 21784, 22016)",+,NP_009307.2,31.896,11.512925464970229,4.199705077879927,0.5567142857142884,0.8597142857142848,0.2804285714285684,-5.416666666666667,-2.0,50.291,0.33836206896551724
"('chrM', 21784, 22016)",+,NP_009306.1,31.849,6.907755278982137,4.509860006183766,0.5511428571428607,0.848714285714284,0.281999999999997,-4.766666666666667,-2.0,50.645,0.3612068965517241
"('chrM', 22632, 23023)",+,NP_009306.1,16.696,11.512925464970229,11.512925464970229,0.8310000000000021,0.8310000000000021,0.1337142857142856,0.0,0.0,123.666,0.3286445012787723
"('chrM', 22632, 23110)",+,NP_009306.1,28.469,11.512925464970229,11.512925464970229,0.6737142857142834,0.7937142857142874,0.5052857142857143,-6.4,-1.1999999999999997,128.724,0.3334728033472803
"('chrM', 21784, 22016)",+,NP_009305.1,31.933,11.512925464970229,4.8283137373023015,0.5528571428571457,0.863142857142857,0.2779999999999969,-4.9,-2.0,50.687,0.36681034482758623
