ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 1, 593)",+,,21.525,0.3354727362881294,0.5293290953305504,0.3971428571428586,0.5495714285714239,0.1069999999999999,-9.8,-10.402173913043464,168.823,0.24543918918918922
"('chrI', 1, 100)",+,,16.832,4.8283137373023015,1.783791299578878,0.8201428571428585,0.4727142857142855,0.2671428571428579,-12.155000000000014,0.0,20.296,0.594949494949495
"('chrI', 1, 99)",+,,15.553,11.512925464970229,2.6736487743848776,0.3507142857142826,0.328285714285713,0.6114285714285667,0.0,-2.0999999999999988,15.243,0.4428571428571428
"('chrI', 1, 340)",+,,40.757,11.512925464970229,11.512925464970229,0.6829999999999918,0.8082857142857145,0.558999999999996,-8.2,-15.0,94.299,0.3262536873156342
"('chrI', 1, 147)",+,,21.814,4.8283137373023015,6.214608098422191,0.7674285714285678,0.3621428571428565,0.8854285714285752,0.0,-8.423000000000005,41.633,0.3321917808219178
"('chrI', 1, 133)",+,,22.554,11.512925464970229,6.214608098422191,0.4828571428571457,0.3885714285714263,0.4569999999999965,0.0,-6.2158536585365844,24.19,0.4878787878787879
"('chrI', 1, 90)",+,,36.493,11.512925464970229,11.512925464970229,0.103428571428572,0.6421428571428566,0.5725714285714232,0.0,-2.3,24.969,0.5685393258426966
"('chrI', 1, 306)",+,,55.953,11.512925464970229,11.512925464970229,0.4088571428571432,0.3292857142857157,0.1424285714285698,-8.4,0.0,65.091,0.3370491803278688
"('chrI', 1, 351)",+,,13.04,1.1332037334377287,11.512925464970229,0.4331428571428552,0.6082857142857125,0.7772857142857166,-22.207142857142856,-8.391666666666667,96.252,0.4377142857142857
"('chrI', 1, 395)",+,,81.426,11.512925464970229,11.512925464970229,0.3455714285714288,0.6947142857142802,0.5065714285714279,0.0,-17.486000000000026,118.081,0.3220812182741116
"('chrI', 1, 160)",+,,25.776,11.512925464970229,11.512925464970229,0.576285714285708,0.5495714285714239,0.3029999999999969,-3.6875,-8.701123595505608,42.959,0.37547169811320763
"('chrI', 1, 304)",+,,59.836,6.907755278982137,6.214608098422191,0.2704285714285692,0.6232857142857104,0.6311428571428549,0.0,-8.281818181818183,77.991,0.37953795379537947
"('chrI', 1, 360)",+,,43.018,6.907755278982137,11.512925464970229,0.5557142857142842,0.5204285714285714,0.3175714285714262,0.0,-1.6000000000000003,96.476,0.35376044568245124
"('chrI', 1, 308)",+,,39.39,11.512925464970229,11.512925464970229,0.7298571428571441,0.4002857142857151,0.0945714285714284,0.0,0.0,44.975,0.3156351791530945
"('chrI', 1, 123)",+,,18.975,11.512925464970229,6.907755278982137,0.5494285714285668,0.775857142857138,0.3932857142857152,-10.233333333333347,-8.800000000000004,17.623,0.3713114754098361
"('chrI', 1, 170)",+,,47.949,4.422848629194137,11.512925464970229,0.8574285714285712,0.1202857142857146,0.3472857142857116,-3.88,-4.150000000000001,44.461,0.45917159763313614
"('chrI', 1, 103)",+,,8.799,0.5762534290884459,3.816712825623821,0.6604285714285696,0.6519999999999941,0.3777142857142853,0.0,-5.460227272727278,18.474,0.4794117647058823
"('chrI', 1, 82)",+,,12.64,11.512925464970229,11.512925464970229,0.0351428571428571,0.0507142857142857,0.7804285714285738,-5.6,0.0,22.875,0.5456790123456788
"('chrI', 1, 164)",+,,23.985,5.809142990314028,1.973281345851445,0.534999999999999,0.2575714285714275,0.3697142857142836,0.0,-10.589247311827956,32.836,0.443558282208589
"('chrI', 1, 276)",+,,33.335,11.512925464970229,6.907755278982137,0.7098571428571332,0.9112857142857148,0.4404285714285706,-7.5,0.0,70.962,0.3385454545454546
"('chrI', 1, 376)",+,,35.382,11.512925464970229,3.772261063052988,0.5052857142857166,0.2924285714285722,0.7154285714285673,-9.925,-10.046666666666665,111.476,0.3469333333333333
"('chrI', 1, 513)",+,,27.853,11.512925464970229,2.9565115604007097,0.6228571428571399,0.4921428571428546,0.5144285714285662,0.0,-4.857142857142857,147.177,0.3013671875
"('chrI', 1, 385)",+,,30.513,11.512925464970229,4.017383521085972,0.7391428571428473,0.4258571428571459,0.6885714285714216,0.0,-7.05,112.017,0.24609375
"('chrI', 1, 381)",+,,43.044,11.512925464970229,11.512925464970229,0.3005714285714266,0.2455714285714262,0.3382857142857109,0.0,-7.269999999999993,110.412,0.23631578947368417
