ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemMetric_Vienna_ens,ZipperStemStartMetric_Vienna_mfe,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,ThreeprimeDistStopFeature,RPKMFeature,LocalizationMetric_RNAstructure_ens,StartToBPStemMetric_RNAstructure_ens,BPToEndStemMetric_RNAstructure_ens,StartProtectionMetric_RNAstructure_ens,EndProtectionMetric_RNAstructure_ens,BPProtectionMetric_RNAstructure_ens,LongestStemMetric_Vienna_mfe,NWJMetric_Vienna_mfe,MLDMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe,ZipperStemEndMetric_Vienna_mfe,LongestStemMetric_Vienna_ens,NWJMetric_Vienna_ens,MLDMetric_Vienna_ens,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,LengthFeature,ZipperStemStartMetric_RNAstructure_ens,ZipperStemEndMetric_RNAstructure_ens,LongestStemMetric_RNAstructure_ens,MLDMetric_RNAstructure_ens
"('chrXV', 780120, 780277)",+,,20.265,11.512925464970229,11.512925464970229,0.5932857142857122,0.1638571428571426,0.086,0,0.0,-6.3,0.0,,,21.401,11.512925464970229,11.512925464970229,0.5837142857142837,0.186142857142857,0.0711428571428572,32,0,0.4012738853503185,37.0,0,0,0.7142857142857143,0.0,0.0,0.0,21.576,0.128,0.2662420382165605,39.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,19,0,0.4012738853503185,157,-6.3,0.0,19.268,0.2605095541401274
"('chrXII', 712725, 713155)",-,NM_001182175.1,16.907,11.512925464970229,2.2537949288246137,0.2795714285714263,0.1608571428571428,0.4825714285714274,0,-25.5,-25.54736842105263,-0.9111111111111112,0.0,863.0705967,19.106,11.512925464970229,1.3318061758358208,0.2624285714285697,0.1954285714285712,0.380142857142858,121,1,0.4093023255813953,15.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,29.182,0.425,0.2581395348837209,15.0,0,0,0.2857142857142857,0.0,0.5714285714285714,-25.5,0.0,119,1,0.4093023255813953,430,-25.523000000000003,-1.3612903225806452,27.319,0.2506976744186046
"('chrVI', 54377, 54686)",-,NM_001179927.1,25.815,2.002480500543708,1.995100393246085,0.6547142857142827,0.2574285714285704,0.5171428571428581,0,-40.9,-36.558695652173945,-3.5,0.0,1865.15162,27.607,2.937463365430016,2.353878387381596,0.5435714285714289,0.2504285714285705,0.4792857142857157,91,0,0.4757281553398058,35.0,0,0,0.7142857142857143,0.1428571428571428,0.4285714285714285,0.0,54.5,0.132,0.3637540453074434,3.0,-1,-1,0.8571428571428571,0.5714285714285714,0.8571428571428571,-16.6,0.0,78,0,0.5339805825242718,309,-28.142424242424227,-3.5,43.754,0.3540453074433657
"('chrXVI', 281373, 281503)",-,,21.146,11.512925464970229,11.512925464970229,0.7825714285714293,0.1377142857142858,0.2778571428571431,0,-15.3,-15.101282051282029,0.0,,,26.064,11.512925464970229,11.512925464970229,0.8041428571428566,0.2840000000000001,0.1565714285714275,16,0,0.5230769230769231,38.0,0,0,0.8571428571428571,0.0,0.0,0.0,16.715,0.126,0.25,38.0,0,0,0.8571428571428571,0.5714285714285714,0.1428571428571428,-15.3,0.0,16,0,0.4692307692307692,130,-15.14337349397588,0.0,15.874,0.25153846153846154
"('chrXII', 40221, 40400)",-,NM_001181870.1,39.965,11.512925464970229,11.512925464970229,0.6784285714285644,0.6785714285714215,0.2627142857142831,0,0.0,0.0,-20.00899999999997,0.0,718.8687993,39.827,11.512925464970229,11.512925464970229,0.686142857142849,0.6875714285714205,0.260571428571426,58,0,0.4748603351955307,40.0,0,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,-22.3,25.474,0.165,0.3346368715083798,40.0,0,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0,-22.3,58,0,0.4748603351955307,179,0.0,-19.607999999999972,25.159,0.335754189944134
"('chrII', 407027, 407122)",-,NM_001178430.1,17.392,1.5005835075220182,2.501036031717884,0.700285714285713,0.1751428571428568,0.1879999999999998,0,0.0,-6.776190476190475,0.0,0.0,583.5987981,15.109,2.1803674602697964,2.8473122684357177,0.7622857142857158,0.0832857142857143,0.1762857142857139,17,0,0.7157894736842105,13.0,-1,0,0.7142857142857143,0.0,0.0,0.0,13.694,0.196,0.2957894736842105,14.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,22,1,0.5052631578947369,95,-6.800000000000004,0.0,11.361,0.2831578947368421
"('chrXVI', 138725, 138864)",+,NM_001184032.1,22.003,5.298317366548036,11.512925464970229,0.3378571428571425,0.6141428571428539,0.2392857142857141,0,-6.2,-6.246987951807222,0.0,0.0,516.9194445,23.858,4.422848629194137,11.512925464970229,0.2307142857142855,0.6264285714285687,0.2761428571428564,38,0,0.39568345323741,31.0,0,0,0.0,0.8571428571428571,0.0,0.0,18.012,0.323,0.2863309352517985,29.0,0,0,0.0,0.7142857142857143,0.2857142857142857,-6.2,0.0,34,1,0.4172661870503597,139,-6.197368421052624,0.0,18.151,0.28776978417266186
"('chrXV', 552665, 552874)",-,NM_001183541.3,34.231,11.512925464970229,11.512925464970229,0.5841428571428565,0.0325714285714285,0.511714285714285,0,0.0,-12.471739130434791,-5.884090909090902,0.0,724.9318588,38.79,11.512925464970229,11.512925464970229,0.3254285714285707,0.1814285714285708,0.5474285714285693,67,1,0.3492822966507177,30.0,0,0,0.7142857142857143,0.0,0.5714285714285714,-6.2,21.779,0.969,0.2688995215311004,42.0,0,0,0.0,0.0,0.5714285714285714,-12.1,-4.2,54,0,0.3014354066985646,209,-12.604054054054066,-4.639560439560436,21.857,0.26555023923444976
"('chrIV', 216157, 216489)",+,,12.128,3.506557897319982,11.512925464970229,0.3680000000000004,0.0131428571428571,0.6047142857142858,0,-19.9,-20.275000000000016,0.0,,,13.39,5.115995809754082,11.512925464970229,0.3448571428571428,0.0095714285714285,0.6279999999999993,88,0,0.2981927710843373,14.0,0,0,0.0,0.0,0.4285714285714285,0.0,21.429,0.492,0.2262048192771084,8.0,0,0,0.2857142857142857,0.0,0.7142857142857143,-19.9,0.0,93,1,0.3403614457831325,332,-19.767000000000028,0.0,24.15,0.22891566265060243
"('chrIV', 239398, 239509)",-,NM_001180184.1,16.692,1.0078579253996456,11.512925464970229,0.7349999999999953,0.0931428571428574,0.0710000000000002,0,0.0,-5.1,0.0,0.0,349.3682729,19.658,0.7678707267558817,11.512925464970229,0.6271428571428556,0.1364285714285716,0.0599999999999999,23,0,0.5585585585585585,15.0,-1,0,0.7142857142857143,0.0,0.0,0.0,20.593,0.027,0.2864864864864865,15.0,-1,0,0.7142857142857143,0.0,0.0,0.0,0.0,23,0,0.5315315315315315,111,-3.55,0.0,16.903,0.26396396396396393
